zone,hour,cluster,count
102,1,MON,1981
102,2,MON,1770
102,3,MON,1814
102,4,MON,1988
102,5,MON,2161
102,6,MON,2305
102,7,MON,2177
102,8,MON,1832
102,9,MON,1629
102,10,MON,1551
102,11,MON,1520
102,12,MON,1533
102,13,MON,1557
102,14,MON,1573
102,15,MON,1651
102,16,MON,1765
102,17,MON,2027
102,18,MON,2166
102,19,MON,2274
102,20,MON,2375
102,21,MON,2414
102,22,MON,2333
102,23,MON,2260
102,0,MON,2189
105,1,MON,2475
105,2,MON,2164
105,3,MON,2184
105,4,MON,2420
105,5,MON,2760
105,6,MON,3061
105,7,MON,3286
105,8,MON,3134
105,9,MON,2959
105,10,MON,2872
105,11,MON,2840
105,12,MON,2821
105,13,MON,2796
105,14,MON,2748
105,15,MON,2721
105,16,MON,2680
105,17,MON,2831
105,18,MON,2983
105,19,MON,3059
105,20,MON,3108
105,21,MON,3137
105,22,MON,3042
105,23,MON,2865
105,0,MON,2772
12554,1,MON,1970
12554,2,MON,1757
12554,3,MON,1918
12554,4,MON,2166
12554,5,MON,2620
12554,6,MON,2831
12554,7,MON,2704
12554,8,MON,2484
12554,9,MON,2424
12554,10,MON,2402
12554,11,MON,2399
12554,12,MON,2414
12554,13,MON,2501
12554,14,MON,2584
12554,15,MON,2714
12554,16,MON,2830
12554,17,MON,2901
12554,18,MON,2868
12554,19,MON,2792
12554,20,MON,2699
12554,21,MON,2595
12554,22,MON,2377
12554,23,MON,2227
12554,0,MON,2158
12555,1,MON,6039
12555,2,MON,5369
12555,3,MON,5502
12555,4,MON,6264
12555,5,MON,7117
12555,6,MON,7389
12555,7,MON,6929
12555,8,MON,6408
12555,9,MON,6239
12555,10,MON,6185
12555,11,MON,6258
12555,12,MON,6390
12555,13,MON,6508
12555,14,MON,6763
12555,15,MON,7132
12555,16,MON,7407
12555,17,MON,7539
12555,18,MON,7522
12555,19,MON,7548
12555,20,MON,7491
12555,21,MON,7319
12555,22,MON,7082
12555,23,MON,6779
12555,0,MON,6576
12591,1,MON,12939
12591,2,MON,12381
12591,3,MON,11641
12591,4,MON,13154
12591,5,MON,14964
12591,6,MON,15418
12591,7,MON,14933
12591,8,MON,14213
12591,9,MON,14115
12591,10,MON,14200
12591,11,MON,14292
12591,12,MON,14440
12591,13,MON,14672
12591,14,MON,15042
12591,15,MON,15803
12591,16,MON,16473
12591,17,MON,16719
12591,18,MON,16636
12591,19,MON,16379
12591,20,MON,16152
12591,21,MON,15740
12591,22,MON,15078
12591,23,MON,14412
12591,0,MON,14163
12592,1,MON,13433
12592,2,MON,11873
12592,3,MON,12151
12592,4,MON,13586
12592,5,MON,15322
12592,6,MON,15613
12592,7,MON,14402
12592,8,MON,13012
12592,9,MON,12392
12592,10,MON,12287
12592,11,MON,12260
12592,12,MON,12524
12592,13,MON,12625
12592,14,MON,12811
12592,15,MON,13622
12592,16,MON,14638
12592,17,MON,15560
12592,18,MON,16223
12592,19,MON,16703
